Preferred Activities,Bucket list destinations Sri Lanka
"cycling, historical monuments, village homestays","Polonnaruwa, Hatton, Anuradhapura, Ella, Haputale"
"butterfly watching, hot springs, wildlife viewing","Madunagala Hot Water Spring, Wilpattu National Park, Wasgamuwa National Park, Kanneliya National Rain Forest Reserve, Horton Plains National Park"
"sea cruises, themed parks, craft workshops","Mirissa Beach, Negombo Lagoon, Batadombalena Craft Centre, Jungle Beach, Bentota"
"fishing, hot springs, sailing","Maha Oya Hot Water Springs, Colombo Port City, Negombo Lagoon, Trincomalee Harbour, Kalpitiya"
"history tours, sailing, literary tours","Negombo Lagoon, Colombo Port City, Galle Dutch Fort, Sigiriya, Jaffna Public Library"
"public art installations, temple pilgrimages, architecture tours","Colombo, Sigiriya, Mihintale, Galle Dutch Fort, Dambulla Royal Cave Temple and Golden Temple"
"fishing, golfing, historical monuments","Hikkaduwa, Kalpitiya, Polonnaruwa, Negombo Lagoon, Nuwara Eliya Golf Club"
"sailing, hot air ballooning, spiritual retreats","Trincomalee Harbour, Kandalama, Sri Pada / Adams Peak, Seetha Eliya, Sri Dalada Maligawa"
"cultural experiences, botanical gardens, history tours","Seethawaka Wet Zone Botanical Gardens, Sigiriya, Galle Dutch Fort, Kandy Temple, Arankelle Forest Monastery"
"boat safaris, sailing, caving","Batatotalena (Batadombalena) Cave, Colombo Port City, Madu River, Ritigala, Negombo Lagoon"
"cultural festivals, museum visits, golfing","Kandy National Museum, Folk Museum, Nuwara Eliya Golf Club, Victoria Golf Club, Colombo National Museum"
"mountain biking, camping, wildlife viewing","Meemure, Wilpattu National Park, Hatton, Horton Plains, Udawalawe National Park"
"cycling, museum visits, turtle watching","Kandy National Museum, Ratnapura Gem Museum, Rekawa Beach, Hatton, Hikkaduwa"
"boat safaris, architecture tours, historic walks","Kandy Lake, Galle Fort, Anuradapura, Polonaruwa, Galle Dutch Fort"
"safaris, waterfalls, scuba diving","Diyaluma Falls, Dunhinda Waterfall, Yala National Park, Trincomalee, St Clairs Falls"
"historic walks, hot air ballooning, elephant rides","Kandalama, Udawalawe, Galle Fort, Kandy Lake, Polonaruwa"
"bird watching, historic walks, turtle watching","Galle Fort, Sinharaja Forest Reserve, Polonaruwa, Kumana National Park, Bundala National Park"
